Serial Number,MQ6,Gas
0,338,NoGas
1,339,NoGas
2,337,NoGas
3,336,NoGas
4,337,NoGas
5,337,NoGas
6,337,NoGas
7,337,NoGas
8,337,NoGas
9,337,NoGas
10,337,NoGas
11,336,NoGas
12,336,NoGas
13,335,NoGas
14,337,NoGas
15,336,NoGas
16,334,NoGas
17,336,NoGas
18,335,NoGas
19,336,NoGas
20,336,NoGas
21,335,NoGas
22,335,NoGas
23,336,NoGas
24,335,NoGas
25,335,NoGas
26,335,NoGas
27,335,NoGas
28,335,NoGas
29,334,NoGas
30,335,NoGas
31,334,NoGas
32,334,NoGas
33,335,NoGas
34,334,NoGas
35,334,NoGas
36,334,NoGas
37,334,NoGas
38,333,NoGas
39,334,NoGas
40,334,NoGas
41,334,NoGas
42,333,NoGas
43,333,NoGas
44,334,NoGas
45,333,NoGas
46,333,NoGas
47,332,NoGas
48,332,NoGas
49,331,NoGas
50,333,NoGas
51,333,NoGas
52,332,NoGas
53,328,NoGas
54,331,NoGas
55,331,NoGas
56,332,NoGas
57,332,NoGas
58,330,NoGas
59,416,NoGas
60,416,NoGas
61,415,NoGas
62,416,NoGas
63,413,NoGas
64,413,NoGas
65,411,NoGas
66,411,NoGas
67,410,NoGas
68,409,NoGas
69,407,NoGas
70,406,NoGas
71,405,NoGas
72,405,NoGas
73,404,NoGas
74,404,NoGas
75,403,NoGas
76,402,NoGas
77,402,NoGas
78,402,NoGas
79,400,NoGas
80,400,NoGas
81,400,NoGas
82,444,NoGas
83,441,NoGas
84,440,NoGas
85,438,NoGas
86,436,NoGas
87,435,NoGas
88,433,NoGas
89,432,NoGas
90,430,NoGas
91,429,NoGas
92,429,NoGas
93,426,NoGas
94,428,NoGas
95,424,NoGas
96,424,NoGas
97,424,NoGas
98,421,NoGas
99,420,NoGas
100,419,NoGas
101,418,NoGas
102,417,NoGas
103,416,NoGas
104,415,NoGas
105,415,NoGas
106,414,NoGas
107,413,NoGas
108,413,NoGas
109,412,NoGas
110,411,NoGas
111,411,NoGas
112,410,NoGas
113,409,NoGas
114,410,NoGas
